0,1,2
,2342.0100,"Teacher, Infant School/Teacher Pre-Primary"
,,NCO 2015
,2342.9900,Pre-Primary Education Teaching Associate
,,"Professionals, Other"
Group,235,Other Teaching Professionals
Family,2351,Education Method Specialists
,2351.0100,School Inspector
,2351.9900,"Education Methods Specialists, Other"
,2352,Special Needs Teachers
,2352.0100,Teacher for Visually Impaired
,2352.0200,Teacher for Hearing-Impaired
,2352.0300,Teacher for Differently-Abled (Mental)
,2352.0400,Teacher for Differently-Abled (Physical)
,2352.9900,"Teacher for Differently-Abled, Other"
Family,2353,Other Language Professionals
Family,2354,Other Music Teachers
Family,2355,Other Arts Teachers
,2355.0100,Art Teacher
,2355.9900,"Arts Teacher, Other"
Family,2356,Information Technology Trainers
,2356.0100,Manual Training Teacher/Craft Instructor
,2356.0301,Master Trainer for Junior Software Developer
,2356.9900,"Information Technology Trainers, Other"
Family,2359,Teaching Professionals Not Elsewhere Classified
,,NCO 2015
,2359.0100,"Handwork Teacher/Teacher, Art and Craft"
Sub-,24,Business and Administrative Professionals
Division,,
Group,241,Finance Professionals
Family,2411,Accountants
,2411.0100,Accountant
,2411.0101,Associate – Transactional Finance & Accounting
,2411.0200,Auditor
,2411.0201,Associate – Finance & Accounting Complex
,2411.0300,Cost Accountant
Family,2412,Financial and Investment Advisors
,2412.0100,Financial Examiner
,2412.0200,Financial Analyst
,2412.0300,Budget Analyst
,2412.0400,Risk Management Analyst
,2412.0501,Agriculture Field Officer
,2412.0600,Commission Agent
,2412.9900,"Financial and Investment Advisors, Other"
Family,2413,Financial Analysts
Group,242,Administration Professionals
Family,2421,Management and Organization Analysts
,,NCO 2015
,2421.0101,Analyst – Research
Family,2422,Policy Administration Professionals
Family,2423,Personal and Careers Professionals
,2423.0100,Vocational Guidance Officer/Career Counsellors
,2423.0101,Associate – Recruitment
,2423.0200,Counsellor
,2423.0500,Occupational Analyst
,2423.9900,"Personal and Careers Professionals, Other"
Family,2424,Training and Staff Development Professionals
,2424.0100,"Manpower Officer/Area Manager, Human"
,,Resource
,2424.0200,"Employment Officer/Operation Head,"
,,Employment
,2424.0300,Human Resource Manager
,2424.0401,Sales Training Manager
,2424.0402,Sales/Service Trainer (Dealer)
,2424.0501,Service Training Centre In-Charge
,2424.0502,Field Service Trainer
,2424.9900,"Training and Staff Development Professionals,"
,,Other
Group,243,"Sales, Marketing and Public Relations"
,,Professionals
Family,2431,Advertising and Marketing Professionals
,,NCO 2015
,2431.0100,Market Research Analyst
,2431.0101,Regional Service Marketing Manager
,2431.0102,Regional Service Process Manager
,2431.0201,Product Brand Manager (Automotive)
,2431.0202,Account Executive (Advertising Agency)
,2431.0300,Caption Writer
,2431.0400,Advertisement Writer
,2431.0501,Market Research Associate – Sales &
,,Marketing/Business Development
,2431.0502,Management Trainee – Sales &
,,Marketing/Business Development
,2431.0503,Market Research Associate – Product Marketing
,2431.0504,Management Trainee – Product Marketing
,2431.0601,Product Executive
,2431.0651,Sales Executive (Media Org)
,2431.0671,Traffic Co-Ordinator
,2431.0700,Creative Writer
,2431.0800,Propagandist
,2431.9900,"Advertising and Marketing Professionals, Other"
Family,2432,Public Relations Professionals
,2432.0100,Publicity Officer
,2432.0200,Public Relations Officer
,2432.0201,Digital Marketing/Social Media Manager
,,NCO 2015
,2432.0300,Information Officer
,2432.9900,"Public Relations Professionals, Other"
Family,2433,Technical and Medical Sales Professional
,,(Excluding ICT)
,2433.0101,Area Sales Officer
,2433.0201,Medical Representative
,2433.0301,Sales Executive – Medical Electronics
,2433.0401,Sales Executive – Consumer Electronics
,2433.0501,Sales Executive – Solar Electronics
,2433.0601,Business Development Executive
,2433.0700,"Field Officer, Insurance"
Family,2434,Information and Communications Technology
,,Sales Professionals
,2434.0101,Sales and Pre-Sales Analyst
,2434.0201,Sales/Pre-Sales Executive
Sub-,25,Information and Communication Technology
Division,,Professionals
Group,251,"Software and Application Developers, and"
,,Analysts
Family,2511,System Analysts
,2511.0100,System Analysts
,2511.0101,Deployment Engineer
,2511.0102,Engineer – Software Transition
,,NCO 2015
,2511.0103,Engineer – Packaging
,2511.0104,Engineer – Product Lifecycle Management (PLM)
,2511.0105,Analyst
,2511.0106,Support Engineer
,2511.9900,"System Analysts, Other"
Family,2512,Software Developers
,2512.0100,Computer Programmer/Software Engineer
,2512.0201,Software Engineer
,2512.0202,Test Engineer – Software
,2512.0203,Design Engineer(Product Engineer)
,2512.0204,Software Developer – Application Development
,2512.0205,Junior Software Developer
,2512.0206,Engineer Trainee – IT Services
,2512.0207,Engineer Trainee – Engineering Analysis
,2512.0300,Programmer Analyst
,2512.0301,Software Developer – Product Development and
,,Delivery
,2512.0401,FPGA Design Engineer
,2512.0501,Embedded Software Engineer
,2512.0601,Design Engineer – Engineering Analysis
,2512.0701,Application Maintenance Engineer
,2512.0800,"Programmer, Engineering and Scientific/System"
,,Programmer
,,NCO 2015
Family,2513,Web and Multimedia Developers
,2513.0101,Web Developer
,2513.0201,User Interface Developer
,2513.0301,Media Developer – Product Development and
,,Delivery
,2513.0302,Media Developer – Application Development
Family,2514,Applications Programmers
,2514.9900,"Computer Programmers, Other"
Family,2519,Software and Application Developers and
,,Analysts Not Elsewhere Classified
,2519.0100,System Programmer
,2519.0300,Quality Assurance Analyst (Computers)
,2519.0301,Quality Assurance Engineer – IT Services
,2519.0302,Test Engineer – IT Services
,2519.0401,Quality Assurance Engineer – Software Products
,2519.0402,Test Engineer – Software Products
,2519.0501,Quality Engineer
Group,252,Database and Network Professionals
Family,2521,Database designers and Administrators
,2521.0100,Database Design Analyst
,2521.0202,Junior Data Associate
Family,2522,Systems Administrators
,2522.0100,Database Administrator
,,NCO 2015
,2522.0201,Security Analyst
Family,2523,Computer Network Professionals
,2523.0100,Data Communication Analyst/Network
,,Administrator
,2523.0200,Computer System Hardware Analyst/Hardware
,,Engineer
,2523.0301,Tester/Test Engineer – Hardware
,2523.0401,Design Engineer
,2523.0501,Hardware Engineer
,2523.9900,"Computer Network Professionals, Other"
Family,2529,Database and Network Professionals Not
,,Elsewhere Classified
Sub-,26,"Legal, Social and Cultural Professionals"
Division,,
Group,261,Legal Professionals
Family,2611,Lawyers
,2611.0100,Attorney General of India
,2611.0200,Solicitor General of India
,2611.0300,Advocate General
,2611.0400,Legal Remembrancer
,2611.0500,Government Advocate
,2611.0600,Public Prosecutor
,2611.0700,Police Prosecutor
,,NCO 2015
,2611.0800,Attorney at Law
,2611.0900,Advocate
,2611.1001,Intellectual Property Executive
,2611.1002,Legal Associate
,2611.9900,"Lawyers, Other"
Family,2612,Judges
,2612.0100,"Judge, Supreme Court"
,2612.0200,"Judge, High Court"
,2612.0300,District and Session Judge
,2612.0400,Munsif
,2612.0500,"Judge, Subordinate Court"
,2612.0600,Magistrate
,2612.0700,"Magistrate, Juvenile Court"
,2612.0800,"Chairman, Administrative Tribunal"
,2612.0900,"Member, Administrative Tribunal"
,2612.1000,"President, Industrial Tribunal"
,2612.1100,"Member, Industrial Tribunal"
,2612.1200,"President, Consumer Redressal Forum"
,2612.1300,"Member, Consumer Redressal Forum"
,2612.9900,"Judges and Magistrates, Other"
Family,2619,"Legal Professionals, Not Elsewhere Classified"
,2619.0100,Prothonotary and Senior Master
,,NCO 2015
,2619.0200,"Registrar (Appellate Side, High Court)"
,2619.0300,Registrar
,2619.0400,Master Official Referee and Registrar in Equity
,,and Commissioner for Taking Accounts (High
,,Court)
,2619.0500,Taxing Master
,2619.0600,Insolvency Registrar
,2619.0700,Official Assignee (High Court)
,2619.0800,Court Receiver and Liquidator
,2619.0900,Sheriff
,2619.1000,Coroner
,2619.9900,"Legal Professionals, Other"
Group,262,"Librarians, Archivists and Curators"
Family,2621,Archivists and Curators
,2621.0100,Archivist
,2621.0200,Curator (Museum)
,2621.0300,"Restorer, Painting"
,2621.0400,"Restorer, Lace and Textile"
,2621.0500,"Restorer, Ceramics"
,2621.0600,"Restorer, Paper and Prints"
,2621.0700,"Restorer, Furniture"
,2621.9900,"Archivists and Curators, Other"
Family,2622,Librarians and Related Information
National Classification of Occupations – 2015,,
,,NCO 2015
,,Professionals
,2622.0100,Librarian
,2622.0200,Librarian (Film)
,2622.0300,Tape Librarian/Librarian Digital/Librarian Media
,2622.0500,News Librarian
,2622.0601,Document Coder/Processor
,2622.9900,"Librarians and Related Information Professionals,"
,,Other
Group,263,Social and Religious Professionals
Family,2631,Economists
,2631.0100,Economist
,2631.0200,Energy Economist
,2631.0300,Home Economist
,2631.9900,"Economists, Other"
Family,2632,"Sociologists, Anthropologists and Related"
,,Professionals
,2632.0100,"Sociologist, General"
,2632.0200,Social Ecologist
,2632.0300,Clinical Sociologist
,2632.0400,Demographer
,2632.0500,Criminologists
,2632.0600,Penologist
,2632.0700,"Anthropologist, General"
,,NCO 2015
,2632.0800,"Anthropologist, Physical"
,2632.0900,"Anthropologist, Cultural"
,2632.1000,Genealogist
,2632.1100,Archaeologist
,2632.1200,Geographer
,2632.9900,"Sociologists, Anthropologists and Related"
,,"Professionals, Other"
Family,2633,"Philosophers, Historians and Political Scientists"
,2633.0100,Historian
,2633.0200,Biographer
,2633.0300,Epigraphist
,2633.0400,Numismatist
,2633.0500,Philatelist
,2633.0600,Political Scientist
,2633.9900,"Philosophers, Historians and Political Scientists,"
,,Other
Family,2634,Psychologists
,2634.0100,Psychologist
,2634.0200,Psychometrist
,2634.0300,"Psychologist, Engineering"
,2634.0400,"Psychologist, Educational"
,2634.0500,"Psychologist, Social"
,2634.0600,Clinical Psychologist
,,NCO 2015
,2634.0700,Industrial – Organizational Psychologist
,2634.0800,"Psychologist, Counselling"
,2634.9900,"Psychologists, Other"
Family,2635,Social Work and Counselling Professionals
,2635.0100,Labour Welfare Officer
,2635.0200,Women’s Welfare Officer
,2635.0300,Probation Officer
,2635.0400,Medical Social Worker
,2635.0500,Child and Family Social Worker
,2635.0600,Health Educator
,2635.0700,Women’s Welfare Organizer
,2635.0800,Child Welfare Organizer
,2635.0900,Family Planning Organizer
,2635.1000,Vocational Rehabilitation Counsellor
,2635.1100,"Counsellor, Marriage and Family"
,2635.9900,"Social Work Professionals, Other"
Family,2636,Religious Professionals
,2636.0100,Priest
,2636.0200,Purohit
,2636.9900,Ordained Religious and Non-Ordained Religious
,,Workers
Group,264,"Authors, Journalists and Linguists"
,,NCO 2015
Family,2641,Authors and Related Writers
,2641.0100,Author
,2641.0200,Critic
,2641.0300,Editor
,2641.0302,Script Editor
,2641.0400,Sub-Editor
,2641.0500,Poet
,2641.0601,Script Writer
,2641.0602,Script Researcher
,2641.0701,Associate – Editorial
,2641.0801,Associate – Learning
,2641.0901,Technical Writer – Product Documentation
,2641.0902,Technical Writer – Application Development
,2641.0903,Technical Writer – Technical Documentation/
,,Writing
,2641.9900,"Authors, Journalists and Other Writers"
Family,2642,Journalists
,2642.0100,News Reporter
,2642.0200,Columnist
,2642.0300,Freelance Journalist
,2642.0400,Commentary Writer
,2642.0500,Radio Commentator
,,NCO 2015
,2642.0600,Commentator (Motion Picture)
Family,2643,"Translators, Interpreters and Other Linguists"
,2643.0100,Language Specialist
,2643.0200,Translator
,2643.0300,Interpreter
,2643.0401,Language Translator – Software Products
,2643.0402,Language Translator – IT Services
,2643.9900,"Philologists, Translators and Interpreters, Other"
Group,265,Creative and Performing Artists
Family,2651,Visual Artists
,2651.0100,Sculptor
,2651.0200,Modeller (Except Stone)
,2651.0300,Stone Modeller
,2651.0400,"Painter, Fine Art"
,2651.0500,"Renovator, Paintings"
,2651.0600,Cartoonist
,2651.9900,"Visual Artists, Other"
Family,2652,"Musicians, Singers and Composers"
,2652.0100,Music Composer
,2652.0200,Orchestra Conductor
,2652.0300,Singer
,2652.0400,"Instrumental Musician, String Instrument"
,,NCO 2015
,2652.0500,"Instrumental Musician, Percussion Instrument"
,2652.0600,"Instrumental Musician, Wind Instrument"
,2652.9900,"Musicians, Singers and Composers, Other"
Family,2653,Dancers and Choreographers
,2653.0100,Choreographer
,2653.0200,Nattuvan
,2653.0300,Dancer
,2653.9900,"Choreographers and Dancers, Other"
Family,2654,"Film, Stage and Related Directors and Producers"
,2654.0100,"Director, Theatrical"
,2654.0200,"Director, Music"
,2654.0300,Dance Director
,2654.0351,Live Action Director
,2654.0400,"Director, Research (Motion Picture, Radio & TV)"
,2654.0500,"Manager, Recreation and Entertainment"
,2654.0600,"Producer, Stage"
,2654.0700,"Producer, Film"
,2654.0800,Production Manager (Motion Picture)
,2654.0901,Lighting Artist
,2654.9900,"Stage and Film Directors, Other"
Family,2655,Actors
,2655.0100,Actor and Actress
,,NCO 2015
,2655.0200,Extra
,2655.0301,Voice Over Artist
Family,2656,"Announcers on Radio, Television and Other"
,,Media
,2656.0100,Programme Announcer
,2656.0200,Disc Jockey
,2656.9900,"Radio, Television and Other Announcers, Other"
Family,2659,Creative and Performing Artists Not Elsewhere
,,Classified
,2659.0100,Rope Dancer
,2659.0200,Acrobat
,2659.0300,Equestrian
,2659.0400,Contortionist
,2659.0500,"Circus Performers, Other"
,2659.0600,Ventriloquist
,2659.0700,Buffoon; Clown
,2659.0800,Mimic
,2659.0900,Magician
,2659.1000,Juggler
,2659.1100,Snake Charmer
,2659.1200,Puppeteer
,2659.1300,"Trainer, Animal"
,2659.1400,Race Horse Trainer
,,NCO 2015
Division,3,Technicians and Associate Professionals
Sub-,31,Science and Engineering Associate Professionals
Division,,
Group,311,Physical and Engineering Science Technicians
Family,3111,Chemical and Physical Science Technicians
,3111.0100,"Laboratory Assistant, Physical"
,3111.0200,"Laboratory Assistant, Soil"
,3111.0300,"Laboratory Assistant, Chemical"
,3111.0400,Chemical Radiation Technician
,3111.0500,"Laboratory Assistant, Geological"
,3111.0600,"Slide Examiner, Petrology"
,3111.0700,"Slide Examiner, Palaeontology"
,3111.9900,"Physical Science Technicians, Other"
Family,3112,Civil Engineering Technicians
,3112.0100,"Overseer, Civil Engineering"
,3112.0200,Permanent Way Inspector
,3112.0300,Plain Tabler
,3112.0400,Topographical Auxiliary
,3112.0500,Computer Topographical
,3112.0600,"Surveyor, Tidal"
,3112.0701,Assistant Laboratory and Field Technician
,3112.9900,"Civil Engineering Technicians, Other"
,,NCO 2015
Family,3113,Electrical Engineering Technicians
,3113.0101,"Electrical Engineering, Technician/Maintenance"
,,Technician Electrical
,3113.0102,Maintenance Technician Electrical
,3113.0111,Technician Furnace Transformers: Ferro Alloys
,3113.0200,Electrical Technician (High Voltage)
,3113.0300,Energy Auditor
,3113.0401,Machine Maintenance Technician
,3113.0501,Maintenance Executive
,3113.0601,Maintenance Technician
,3113.0701,Customer Inspection Technician
,3113.0801,In-Process and Final Quality Engineer
,3113.0802,Final Testing Technician
,3113.0803,Automated Optical Inspection Machine Operator
,3113.0901,Cluster In-Charge
,3113.1001,LED Luminaries Testing and Measurement
,3113.1002,LED Light Repair Technician
,3113.9900,"Electrical Technicians, Other"
Family,3114,Electronics Engineering Technicians
,3114.0100,Electronics Technician
,3114.0200,Television Chassis Inspector/Television Technician
,,NCO 2015
,3114.0601,BSS Support Engineer
,3114.0701,Field Maintenance Engineer
,3114.0801,ICT Engineer
,3114.0802,ICT Technician
,3114.0804,Broadband Technician
,3114.0901,Installation Engineer – L2 & L3
,3114.0902,Installation Engineer Installation Engineer – SDH
,,& DWDM
,3114.1101,Product Specialist Engineer
,3114.1201,Transmission Engineer
,3114.1301,Network Management Engineer
,3114.9900,Electronics and Telecommunications Engineering
,,"Technicians, Other"
Family,3115,Mechanical Engineering Technicians
,3115.0101,Mechanical Engineering Technician/Supervisor
,,R&D Testing
,3115.0102,Maintenance Technician – Mechanical
,3115.0103,Maintenance Technician Assistant – Mechanical
,3115.0104,Body Shop In-Charge
,3115.0105,Workshop Manager
,3115.0201,Automotive Engineering Technician/Testing
,,Manager
,3115.0202,Test Engineer Product/Vehicle
,,NCO 2015
,3115.0301,"Executive, Proto Manufacturing"
,3115.0401,Method Study Executive
,3115.0501,Manager Maintenance Mechanical &
,,Electrical
,3115.0601,Master Auto Service Technician/Auto Service
,,Technician
,3115.0602,Auto Service Technical Manager/Auto Service
,,Technician
,3115.1000,Aeronautical Engineering Technician
,3115.1100,"Heating, Ventilation and Refrigeration Engineering"
,,Technician
,3115.1200,Die Designer
,3115.1301,Tool Designer
,3115.1302,Tool Room Supervisor
,3115.1400,Loco Foreman
,3115.1500,"Yard Foreman, Railway"
,3115.1600,Train Examiner
,3115.9900,"Mechanical Engineering Technicians, Other"
Family,3116,Chemical Engineering Technicians
,3116.0100,"Laboratory Assistant, Glass and Ceramics"
,3116.0200,"Laboratory Assistant, Food & Beverages/ Chemist/"
,,Analytical Supervisor/Lab Chemist
,3116.0300,"Laboratory Assistant, Chemical Engineering"
,,General
,,NCO 2015
,3116.0400,"Core Analyst, Petrol and Natural Gas"
,3116.0500,"Laboratory Assistant, Petroleum and Lubricants"
,3116.0600,"Chemist, Water Purification/Water Treatment"
,3116.9900,"Chemical Engineering Technicians,"
,,Other/Chemical Process Technicians
Family,3117,Mining and Metallurgical Technicians
,3117.0100,Rock Slicer
,3117.0200,Petroleum and Natural Gas Extraction Technician
,3117.0300,"Laboratory Assistant, Metallurgical"
,3117.9900,"Mining and Metallurgical Technicians, Other"
Family,3118,Draughtpersons
,3118.0100,"Draughtperson, Architectural"
,3118.0200,"Draughtperson, Civil"
,3118.0201,Plumbing Draftsman
,3118.0300,"Draughtperson, Electrical"
,3118.0301,Draftsman
,3118.0302,Physical Design Engineer
,3118.0401,"Draughtperson, Mechanical"
,3118.0402,Draughtsman – Mechanical
,3118.0500,"Draughtperson, Structural"
,3118.0600,"Draughtperson, Topographical"
,3118.0700,Lithographic Designer
,,NCO 2015
,3118.0800,Tracer
,3118.0900,Blue Printer
,3118.9900,"Draughtpersons, Other"
Family,3119,Physical and Engineering Science Technicians Not
,,Elsewhere Classified
,3119.0100,"Laboratory Assistant, Engineering"
,3119.0200,Forensic Science Technician
,3119.0300,Fingerprint Expert
,3119.0400,Handwriting Expert
,3119.0500,Impression Taker
,3119.0600,Weather Observer
,3119.0700,"Methods, Time and Motion Study Technician"
,3119.0800,Fire Prevention Officer
,3119.0900,Fire Officer
,3119.1000,"Fire Inspectors, Other"
,3119.1100,Laser Technician
,3119.9900,"Optical and Electronic Equipment Controllers,"
,,Other
Group,312,"Mining, Manufacturing and Construction"
,,Supervisors
Family,3121,Mining Supervisors
,3121.0100,"Supervisor and Foreman, Mining and Quarrying"
,3121.0200,"Supervisor and Foreman, Well Drilling"
,,NCO 2015
,3121.0300,"Supervisor and Foreman, Mineral Treating"
,3121.0400,"Overman, Colliery"
,3121.0500,"Sirdar, Colliery"
,3121.0600,Mud Supervisor
,3121.0700,Well Pulling Supervisor
,3121.0800,Gas Supervisor
,3121.9900,Supervisors and Foremen in Mining and Mineral
,,"Processing Plant Operation Activities, Other"
Family,3122,Manufacturing Supervisors
,3122.0100,"Supervisors and Foremen, Metal Making,"
,,Converting and Refining
,3122.0200,"Foreman, Blast Furnace"
,3122.0300,Stock House Foreman
,3122.0400,"Supervisor and Foreman, Metal Treating"
,3122.0500,"Supervisor and Foreman, Metal Drawing and"
,,Extruding
,3122.0601,Assembly Line Supervisor
,3122.0800,"Supervisor and Foreman, Glass Forming and"
,,Related Activities
,3122.0900,"Supervisor and Foreman, Ceramics and Related"
,,Activities
,3122.1000,"Supervisor and Foreman, Wood Preparation and"
,,Papermaking
,3122.1100,"Supervisor and Foreman, Paper Pulp and"
,,Papermaking
,NCO 2015,NCO 2004
3122.1300,"Supervisor and Foreman, Chemical Processing and",8158.10
,Related Activities,
3122.1400,"Supervisor and Foreman, Petroleum Refining and",8158.20
,Related Activities/Operator/Engineering Assistant,
,(Mechanical/Electrical/Civil/Chemical) Related,
,Activities,
3122.1600,Boiler Supervisor,8168.10
3122.1700,"Supervisors and Foremen, Stationary Engine and",8168.20
,Related Equipment,
3122.1800,"Supervisor and Foreman, Stone Cutting and",8218.10
,Carving,
3122.1900,"Supervisor and Foreman, Machine Tool",8218.20
,Operations,
3122.2000,"Supervisor and Foreman, Rubber Goods Making",8238.10
3122.2100,"Supervisor and Foreman, Plastic Products Making",8238.20
3122.2200,Plastic Moulding Shop Supervisor,
3122.2300,Plastic Moulding Shift In-Charge,
3122.2400,"Supervisor and Foreman, Wood Working",8248.10
,(Machine),
3122.2500,"Supervisor and Foreman, Carpentry, Cabinet",8248.20
,Making and Related Wood Working Processes,
3122.2600,"Supervisor and Foreman, Paper and Paper Board",8258.10
,Product Making,
3122.2800,Jobber (Textile),8268.10
3122.2900,"Supervisor and Foreman, Hosiery",8268.20
3122.3000,"Supervisor and Foreman, Tanning and Pelt",8268.30
,Dressing,
,NCO 2015,NCO 2004
3122.3100,"Supervisor and Foreman, Shoemaking",8268.40
3122.3200,"Supervisor and Foreman, Harness and Saddle",8268.50
,Making,
3122.3300,"Supervisor and Foreman, Leather Goods Making",8268.60
3122.3400,"Supervisors and Foremen, Textile-Related",7435.05
,Products,
3122.3450,"Scouring Supervisor, Wool",7431.26
3122.3500,"Supervisors and Foremen, Tailoring and Dress",7433.05
,Making,
3122.3551,Production Supervisor – Sewing,
3122.3600,"Supervisor and Foreman, Brush Making",7424.05
3122.3800,"Supervisor and Foreman, Tobacco Preparation,",8279.10
,Cigar and Cigarette Making,
3122.3900,"Supervisor and Foreman, Tobacco Product Making",8279.20
3122.4000,"Supervisor and Foreman, Material and Freight",8290.10
,Handling,
3122.4100,"Supervisor and Foreman, Checking, Sorting,",8290.20
,Packing and Related Activities,
3122.4200,"Supervisor and Foreman, Welding and Flame",7218.10
,Cutting,
3122.4300,"Supervisor and Foreman, Sheet and Structural",7218.20
,Metal Working,
3122.4401,Casting Line In-Charge,
3122.4402,Casting Line Supervisor,
3122.4501,Forging Shop Shift In-Charge,
,NCO 2015,NCO 2004
3122.4502,Forging Shop Supervisor,
3122.4601,Press Shop Shift In-Charge,
3122.4602,Press Shop Supervisor,
3122.4701,Welding Machine Setter,
3122.4702,Welding Supervisor,
3122.4900,"Supervisor and Foreman, Blacksmith",7228.10
3122.5000,"Supervisor and Foreman, Tool Making/Die Making",7228.20
3122.5200,"Supervisor and Foreman, Machinery Fitting and",7238.10
,Repairing,
3122.5300,"Supervisor and Foreman, Motor Vehicle Repairing",7238.20
3122.5400,"Supervisor and Foreman, Aircraft Repairing",7238.30
3122.5600,"Supervisor and Foreman, Electrical and Electronic",7248.10
,Equipment,
3122.5700,"Engineering Supervisor, Telephone",7248.20
3122.5800,"Sub-Inspector, Telephone",7248.30
3122.5900,"Charge Hand, Rack Wiring (Telephone Equipment)",7248.40
,Manufacturing,
3122.6000,"Line Supervisor, Electrical",7248.50
3122.6200,"Supervisor and Foreman, Precision Instrument",7318.10
,Making (Except Electrical),
3122.6300,"Supervisor and Foreman, Musical Instrument",7318.20
,Making,
3122.6400,"Supervisor, Jewellery, Engraving and Precision",7318.30
,Metal Workers,
,,NCO 2015
,3122.6501,Wax Model Making Supervisor
,3122.6502,Product Development Manager
,3122.6503,Planning Supervisor
,3122.6504,Blade Sawing Supervisor
,3122.6505,Laser Supervisor
,3122.6506,Bruting Supervisor
,3122.6507,Blocking Supervisor
,3122.6508,Polishing Supervisor
,3122.6509,Final Assortment Supervisor
,3122.6511,Supervisor Faceting and Polishing
,3122.6600,"Supervisor and Foreman, Photolitho, Photo"
,,Engraving and Dark Room Operations
,3122.6700,"Supervisor and Foreman, Printing and Related"
,,Work
,3122.6900,"Supervisor and Foreman, Food"
,,Processing/Production Supervisor
,3122.7000,Juice Clarification Supervisor
,3122.7100,"Supervisor and Foreman, Brewing, Aerated Water"
,,and Beverage Making
,3122.7200,"Supervisor and Foreman, Dairy Products/Dairy"
,,Technologist
,3122.8001,Rubber Nursery Supervisor
,3122.9900,"Manufacturing Supervisors, Other"
Family,3123,Construction Supervisors
,,NCO 2015
,3123.0100,"Work Supervisor, Construction"
,3123.0200,"Supervisor and Foreman, Insulation"
,3123.0300,"Supervisor and Foreman, Plumbing and Pipe"
,,Fitting
,3123.0301,Plumbing Foreman
,3123.0302,Plumbing Supervisor
,3123.0400,"Electrical Supervisor, Wiring,"
,3123.0500,"Supervisor and Foreman, Painting"
,3123.0600,Painting and Surface Treatment Line In-Charge
,3123.0700,Painting Supervisor
,3123.9900,Supervisors and Foremen and Related Trades
,,"Workers in Painting, Building Structure Cleaning,"
,,Other
Group,313,Process Control Technicians
Family,3131,Power Production Plant Operators
,3131.0100,"Stationary Engine Driver, Steam"
,3131.0200,"Stationary Engine Driver, Internal Combustion"
,3131.0300,"Turbine Operator, Steam"
,3131.0400,"Turbine Operator, Hydel"
,3131.0500,Power Plant Operator
,3131.0600,Electrical Switch Board Operator
,3131.0700,"Oiler and Greaser, Stationary Engine and"
,,Machinery
,,NCO 2015
,3131.0800,Nuclear Plant Control Operator
,3131.0900,Breaker Tender
,3131.1000,Hopper Attendant/Hopper Machine Operator
,3131.1100,Load Dispatcher
,3131.9900,"Power Production Plant Operators, Other"
Family,3132,Incinerator and Water Treatment Plant
,,Operators
,3132.0100,Ice Maker
,3132.0200,Reservoir Caretaker
,3132.0300,Gas-Compressor Operator
,3132.0400,Wastewater Treatment Plant Operator
,3132.0500,Heating Plant Superintendent
,3132.0600,"Pump Station Operator, Waterworks"
,3132.0700,Air Compressor Operator
,3132.0800,Ammonia Compressor Attendant
,3132.0900,Air Conditioning and Refrigeration Plant
,,Attendant
,3132.1000,Pumpman
,3132.1100,Exhaust Fan Operator
,3132.1200,Blower Operator
,3132.1300,Incinerator Operator
,3132.9900,"Incinerator and Water Treatment Plant Operators,"
,,Other
,,NCO 2015
Family,3133,Chemical Processing Plant Controllers
,3133.0100,"Process Man, Chemical"
,3133.0200,Furnace Operator (Chemical)
,3133.0300,Boiling Tub Operator (Chemical)
,3133.0400,"Batch Still Operator, Chemical"
,3133.0500,"Continuous Still Operator, Chemical"
,3133.0600,"Bleaching Operator, Chemical"
,3133.0700,Chemical Process Operator (Radioactive
,,Materials)
,3133.0800,Hot Cell Technician
,3133.9900,"Chemical Processing Plant Controllers, Other"
Family,3134,Petroleum and Natural Gas Refining Plant
,,Operators
,3134.0100,"Continuous Still Operator, Petroleum"
,3134.0200,Still Man Gas Plant/Gas Plant Operator (Petrol
,,Refining)
,3134.0300,Pump Man (Petroleum Refining)
,3134.0400,Control Man (Petroleum Refining)
,3134.0500,Blender (Petroleum Refining)
,3134.0600,Paraffin Plant Operator (Petrol Refining)
,3134.0700,Pump Station Operator
,3134.0800,Treating Plant Operator
,3134.9900,"Petroleum Refining Workers, Other"
,,NCO 2015
Family,3135,Metal Production Process Controllers
,3135.0500,Mixerman
,3135.0600,Convertor Blower/Convertor Blower Technician
,3135.0700,Convertor Man/Convertor Blower Technician
,3135.0900,Furnace Operator (Non-Ferrous Metal)
,3135.1100,"Furnace Operator, Open Hearth"
,3135.1200,"Furnace Operator, Second Hand, Open Hearth"
,3135.1300,Furnace Operator (Smelting & Refining)
,3135.1401,Shift In-Charge Furnace Ferro Alloys
,3135.1700,"Roller, Merchant Mill/Mill Operator"
,3135.1800,"Roller, Sheet Mill/Mill Operator"
,3135.1900,"Operator, Hot Rolling Mill (Non-Ferrous"
,,Metal)/Mill Operator
,3135.2000,"Roller, Hot Rolling Mill (Non-Ferrous Metal)/Mill"
,,Operator
,3135.2001,Fluid Management Operator Rolling Mills
,3135.2002,Process Operator Rolling Mills
,3135.2003,Coil Packaging Machine Operator Rolling Mills
,3135.2300,"Operator, Strip Mill (Non-Ferrous Metal)"
,3135.2500,Seamless Pipe and Tube Roller
,3135.2600,"Furnace Man, Reverberatory, Pulverised Coal"
,,Fired
,3135.3001,Heat Treatment Shop Supervisor
,,NCO 2015
,3135.3100,Centrifugal Casting Machine Operator
,3135.3900,"Control Man, Billet/Process Controller"
